,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
9,035760,CJ ENM,44272.748123343015,266466.3368226608,130232.39488655057,61427.06787732705,167800.0,0.7761167752476196,0.7295923728550338,1.2884659008703305,1.5879996234961908
238,120240,대정화금,7801.11803377591,43350.516668704106,17038.887952283458,7801.082525834039,21850.0,0.7798118055964969,0.7312914886732844,1.2823606834665395,1.984005339528792
546,018290,브이티지엠피,2072.563445780324,12734.153825091616,6542.050966323274,2717.930085214055,8230.0,0.7949029120684415,0.7327140414132195,1.2580152680506214,1.547284790412104
342,145020,휴젤,54838.43019737767,267000.0,156031.20290392358,40125.26490786567,181000.0,0.8620508447730585,0.7331182252333391,1.1600243837859212,1.4751381215469612
532,032300,한국파마,13350.0,91000.0,43235.40983606558,17707.187302069204,54300.0,0.7962322253419075,0.7339699555135449,1.2559150059150057,1.6758747697974217
215,042110,에스씨디,637.0,3175.0,1580.979658258747,378.8452737497911,1820.0,0.8686701419004104,0.7359529630228119,1.1511849570566293,1.7445054945054945
196,143160,아이디스,6860.0,41600.0,19871.700569568755,9538.88364845712,25900.0,0.7672471262381758,0.7362971409470275,1.3033610238503142,1.606177606177606
22,025980,아난티,3813.6046488230445,30086.478207430566,9473.602512386524,4138.59144415763,12100.0,0.7829423563955805,0.7371590683536502,1.277233236688949,2.486485802266989
495,270870,뉴트리,11001.341171905793,41950.0,22908.57629439118,7266.661642719659,27550.0,0.8315272702138359,0.7385002072311937,1.2026063796354383,1.5226860254083485
551,187870,디바이스이엔지,7035.8605970574745,55500.0,19123.288562643786,12331.501844550417,27000.0,0.7082699467645847,0.7385062770072708,1.4118910516647698,2.0555555555555554
420,029960,코엔텍,2610.0,13000.0,7446.501220504475,2600.95671217458,9110.0,0.8173985972013694,0.7387745162491679,1.2233933400715709,1.4270032930845225
225,053700,삼보모터스,1923.6806689752218,9348.717568881597,5453.021092272141,1257.8698196146138,6270.0,0.8697003336957162,0.7419904401345179,1.149821336448828,1.4910235357067938
180,040420,정상제이엘에스,5440.0,8450.0,7196.46867371847,584.4861004886641,7580.0,0.9494021996990066,0.7441476235700178,1.0532943786279774,1.1147757255936674
568,259630,엠플러스,4607.21612030973,17267.46087415005,10642.514690050586,2652.7639713252747,12400.0,0.858267313713757,0.7461781060689217,1.1651381615279743,1.3925371672701652
183,061250,화일약품,1031.5254201612397,5547.666132747681,2150.1163046533866,987.7653569108952,2805.0,0.7665298768817778,0.746333187483285,1.304580591258846,1.9777775874323285
307,032620,유비케어,2307.723135936627,13350.0,5753.200699726068,2719.887547808687,7670.0,0.7500913558964887,0.7595123426055754,1.333170942631151,1.740547588005215
44,013120,동원개발,2930.0,6840.0,4611.179820992677,770.579802678515,5160.0,0.8936395001923794,0.7618348519951201,1.1190194701383764,1.3255813953488371
453,066590,우수AMS,1447.415746909577,10207.661149808664,3539.0207868095113,1832.2312334020762,4850.0,0.7296950075895899,0.7628529242096097,1.3704355786992592,2.104672402022405
216,088800,에이스테크,1697.4895457489881,30725.28354652216,8809.517152123386,7404.286686548289,14200.0,0.6203885318396751,0.7666999092356259,1.611893110007434,2.163752362431138
392,160980,싸이맥스,5240.0,26750.0,12447.427230498362,4588.512483395879,15800.0,0.787811850031542,0.7675019287859364,1.2693386117001955,1.6930379746835442
155,036890,진성티이씨,3670.0,16500.0,9408.604458166747,2439.5302118431478,11200.0,0.8400539694791738,0.768623098951206,1.1903997080330344,1.4732142857142858
97,033560,블루콤,2432.8952105263156,13275.145605263158,7108.311419637989,2918.598597793781,9260.0,0.767636222423109,0.7695098095013732,1.302700381755586,1.4336010372854382
224,049830,승일,5300.0,27800.0,11305.004068348251,3627.2208657961296,14000.0,0.8075002905963037,0.7712567252146812,1.2383896472180136,1.9857142857142858
563,267320,나인테크,88.77426183010829,6090.0,1616.6487474751518,1882.443666200689,3020.0,0.5353141547930966,0.7720135589593299,1.8680619427792047,2.0165562913907285
277,036930,주성엔지니어링,4040.0,17650.0,9562.188771358828,2992.371763694134,11800.0,0.8103549806236294,0.7727212537606303,1.2340270917202538,1.4957627118644068
561,241790,오션브릿지,5430.88310539004,22150.0,11612.567644902812,3579.570710392281,14300.0,0.8120676674757211,0.773604292769537,1.2314244736629631,1.548951048951049
29,086450,동국제약,9500.0,32450.0,17081.340460526317,6550.1823500548935,22000.0,0.7764245663875599,0.7736494426805136,1.2879551257022441,1.475
557,214180,민앤지,7241.834772615755,25822.59253378451,17255.44045710759,3182.808661777435,19700.0,0.8759106831019081,0.7787715724941464,1.1416689158975066,1.3107914991768788
413,123040,엠에스오토텍,1058.810427539485,10720.202592763068,4092.675575911344,2236.337797708147,5830.0,0.7020026716829063,0.7813797149277513,1.424496003131593,1.8387997586214524
430,260930,씨티케이,4631.523660592347,24073.456314943276,10704.92649241801,4298.747645448903,14050.0,0.761916476328684,0.7817599129552248,1.3124798203846808,1.7134132608500552
88,043370,피에이치에이,4365.0,15850.0,9821.310008136696,2407.0125293988694,11700.0,0.8394282058236492,0.7824537288845693,1.1912871083701522,1.3547008547008548
233,033540,파라텍,1128.0253088398233,5725.014680823313,2056.7606444243297,702.5961656570564,2610.0,0.7880308982468697,0.7844824295825632,1.2689857748277351,2.1934922148748326
481,119860,다나와,3546.8457620302593,37400.0,20922.235815566855,8458.570710965654,27650.0,0.756681222986143,0.7868032809029958,1.3215604796609481,1.352622061482821
48,178920,PI첨단소재,11900.0,64100.0,35513.26281529699,11464.941384836855,44750.0,0.7935924651463014,0.7897778365536482,1.2600926091399403,1.4324022346368714
274,192080,더블유게임즈,28384.512113580004,81700.0,57418.244380129945,10522.352811383274,66000.0,0.8699733996989386,0.7926280398980154,1.149460432176499,1.2378787878787878
255,017480,삼현철강,2390.0,8770.0,4731.977217249797,1104.0343346944,5640.0,0.8390030527038647,0.7945920944412868,1.191890776532086,1.5549645390070923
576,109740,디에스케이,3529.2458704230194,12433.320564436604,7002.392140342184,1596.7808447403002,8330.0,0.8406233061635274,0.7971339780111426,1.189593475065357,1.4925955059347664
14,068760,셀트리온제약,16644.86664341173,252105.38387977646,75297.77391956106,51419.31115432881,118500.0,0.6354242524857474,0.7996003490793863,1.5737517038231557,2.1274715939221642
280,119610,인터로조,15047.700469501888,39764.46013915011,25266.19557164415,5327.627030757618,29750.0,0.8492838847611479,0.7999979187719471,1.1774625869431625,1.3366205088789953
226,025550,한국선재,1605.0,13900.0,3437.3637103336046,1546.4957652088876,4740.0,0.7251822173699588,0.8001941188591483,1.3789637639305767,2.932489451476793
109,000250,삼천당제약,7930.290434737007,88600.0,36673.927024944256,16174.983341180287,50400.0,0.7276572822409575,0.8019477387151777,1.374273334996816,1.757936507936508
435,110990,디아이티,5490.0,13500.0,8565.9875,1676.7742811216538,10000.0,0.85659875,0.8037855809105143,1.1674077273635994,1.35
407,067900,와이엔텍,2600.666853153677,17650.0,8280.918335648761,4196.131257522597,11900.0,0.6958754903906522,0.805788438720926,1.4370386855249315,1.4831932773109244
220,069410,엔텔스,3293.099035181083,16200.0,8365.97599239551,1823.306181545398,9980.0,0.8382741475346203,0.8119805492630955,1.1929271622428277,1.623246492985972
412,024880,케이피에프,2028.7373425705134,5967.17607043585,4351.898291677189,556.524122006624,4845.0,0.898224621605199,0.8122015658324311,1.1133072685236798,1.2316152880156555
268,050890,쏠리드,806.9178206915923,11686.935042542525,4222.20956858982,2622.9465168653655,6560.0,0.6436295074069848,0.8136116021418889,1.5536888667965814,1.7815449759973363
438,021320,KCC건설,3600.0,13850.0,8266.899918633035,1626.9949640179386,9720.0,0.8505041068552505,0.8141032698729367,1.1757732760368582,1.4248971193415638
324,083930,아바코,3845.3142008997975,17800.0,8104.22140691697,2380.8920602821604,10250.0,0.7906557470162898,0.8162722521065572,1.2647729479912286,1.7365853658536585
193,040300,YTN,1150.0,4850.0,2534.117168429618,742.5793134399711,3205.0,0.7906761835973847,0.8168562827920112,1.2647402574467879,1.5132605304212168
498,079940,가비아,5220.0,19700.0,9666.851098454028,3726.527266400174,13050.0,0.7407548734447531,0.8180227588540185,1.349974243638347,1.5095785440613028
126,082920,비츠로셀,7541.672596952749,19900.0,13373.902879687577,2831.559140190037,15950.0,0.8384892087578418,0.818530843965384,1.1926211924437575,1.2476489028213167
21,053800,안랩,40000.0,147300.0,61893.856794141575,12856.38097816399,73600.0,0.8409491412247496,0.8187289300692009,1.189132553894532,2.001358695652174
17,054620,APS홀딩스,3815.0,37484.01745033557,9892.979956273315,7218.928367655487,16500.0,0.5995745428044433,0.8199660133869957,1.667849330831511,2.2717586333536706
242,076610,해성옵틱스,310.9111306872556,1454.6234392365016,783.0374814814814,234.38344325735687,998.0,0.7846066948712239,0.820465456256009,1.27452391948316,1.4575385162690397
122,049070,인탑스,5150.0,36500.0,15110.423108218063,7232.573590995976,21750.0,0.6947320969295662,0.8206932574571977,1.4394037707766691,1.6781609195402298
94,089030,테크윙,8127.97223778711,28750.0,15857.650136619843,4935.633776523587,20450.0,0.7754352145046378,0.8239303747110494,1.2895983846165902,1.4058679706601467
272,240810,원익IPS,14126.703678258988,58300.0,30370.847452657843,9854.389071594032,39550.0,0.76791017579413,0.8241969756224949,1.3022356409925882,1.4740834386852086
322,067570,엔브이에이치코리아,1293.6659269089703,6094.203251501491,3072.9850983317365,932.9513112040623,3950.0,0.7779709109700599,0.8264023995077833,1.2853951039802887,1.5428362662029091
334,017650,대림제지,4840.0,16250.0,8704.106260296541,2433.703291462594,11000.0,0.7912823872996856,0.8272553211922336,1.2637713363146879,1.4772727272727273
197,060370,KT서브마린,1965.0,8990.0,4683.840520748576,1126.6304951452626,5750.0,0.8145809601301871,0.8280087752505716,1.2276250599328753,1.5634782608695652
361,232140,와이아이케이,281.5333227294417,7569.306271836247,3471.7692519589145,1755.820250104817,5150.0,0.6741299518366825,0.8304159104329125,1.4833935167477386,1.469768208123543
533,319400,현대무벡스,162.8003963071264,5748.97472828479,1483.9742736850783,1991.367116721548,3390.0,0.43775052321093755,0.8307527920649658,2.284406178809141,1.6958627517064278
494,200710,에이디테크놀로지,1715.9374814326243,32215.953306838375,13065.177631967146,8434.241901153293,21150.0,0.6177388951284702,0.8311126260317325,1.6188069229346995,1.523212922309143
373,118990,모트렉스,1299.433825195816,7869.2869442110195,3989.004559553306,1518.8581258814772,5460.0,0.7305869156691037,0.8335995750346217,1.3687625367395964,1.4412613450935934
395,264450,유비쿼스,7451.602603080744,26000.0,16265.106845550288,4578.309589282469,20700.0,0.7857539538913183,0.8336462667462852,1.272663020081112,1.2560386473429952
569,130580,나이스디앤비,4975.0,13100.0,8265.46786004882,1686.303323064458,9900.0,0.8348957434392748,0.8338019882038494,1.1977543398180397,1.3232323232323233
542,228670,레이,12375.0,34850.0,23532.2202166065,5167.673832343998,28550.0,0.8242458920002277,0.8342243426152764,1.2132301898081208,1.2206654991243433
13,039030,이오테크닉스,38029.463892755826,134900.0,85768.40240746169,21126.587801129917,106300.0,0.8068523274455475,0.8344341522948808,1.239384167318384,1.2690498588899342
113,046440,KG모빌리언스,3145.0,13800.0,6946.65939574695,2363.7222574203793,9290.0,0.7477566626207697,0.8392493113587332,1.3373334534996413,1.4854682454251884
282,064760,티씨케이,29150.0,242900.0,79913.3034987795,45034.05361870149,124600.0,0.6413587760736718,0.8394711772463583,1.559189703650569,1.949438202247191
264,019770,서연탑메탈,1250.0,14000.0,4943.1041497152155,2758.5154850619224,7710.0,0.6411289428943211,0.8420787360821418,1.559748645078456,1.8158236057068742
260,051490,나라엠앤디,1965.0,13850.0,6148.559804719284,2700.418760633324,8860.0,0.6939683752504836,0.842330305174126,1.4409878542938734,1.5632054176072234
132,086960,한컴MDS,6405.489243053823,26589.76453697576,16240.407731882027,3837.1902951240463,20100.0,0.8079804841732352,0.8427532763194324,1.2376536557355695,1.322873857560983
108,017890,한국알콜,5910.0,19800.0,10200.244100895037,2969.16601858227,13200.0,0.772745765219321,0.8438248119565028,1.2940866776748747,1.5
579,208140,정다운,703.6851401347883,4720.0,2212.5360442514852,725.2990841922384,2950.0,0.7500122183903339,0.8453690984167532,1.333311612104382,1.6
514,045660,에이텍,5650.0,42700.0,15502.278275020342,10722.219160710974,26450.0,0.5860974773164591,0.8463802030592863,1.706200826146974,1.614366729678639
441,080220,제주반도체,1924.8235997311835,7437.896590852442,3537.5034977629784,1156.1471823328993,4720.0,0.7494710800345293,0.8467965748259866,1.3342742990882694,1.5758255489094157
432,067990,도이치모터스,3413.270972916083,12114.555012124412,6180.527523380997,1478.7200183887667,7700.0,0.8026659121274022,0.8479214063912981,1.2458483472277768,1.5733188327434302
144,083310,엘오티베큠,4727.106659487941,18150.920093747158,10227.483835608946,3601.463646078486,13950.0,0.7331529631260894,0.8493412143446638,1.3639718452969243,1.3011412253582193
312,054450,텔레칩스,4670.0,21300.0,11344.417315028135,3149.236519516904,14600.0,0.7770148845909681,0.8493778865220694,1.286976633049204,1.4589041095890412
33,015750,성우하이텍,2000.0,8680.0,4678.671684296176,1264.4057369330708,5990.0,0.781080414740597,0.8501577911591204,1.2802779088144312,1.4490818030050083
115,195990,에이비프로바이오,172.49646241113598,2917.81724747276,649.7357761665959,412.55933741170077,1080.0,0.6016072001542554,0.851506114343354,1.66221414860659,2.7016826365488518
34,030190,NICE평가정보,6300.0,25850.0,14165.459723352318,5581.469885182482,20000.0,0.7082729861676159,0.8520673426083831,1.4118849928343105,1.2925
160,036560,영풍정밀,4755.0,12600.0,8537.286411716843,1022.3832392670083,9610.0,0.8883752769736569,0.8529635077517536,1.1256504158992406,1.3111342351716961
149,065680,우주일렉트로,7200.0,41350.0,16693.344182262,8500.90360953901,25700.0,0.6495464662358755,0.8553125550783819,1.5395357406761123,1.6089494163424125
189,108380,대양전기공업,8370.0,22500.0,13782.06672091131,2278.2065762379298,16200.0,0.850744859315513,0.8557304497884075,1.1754405437190343,1.3888888888888888
330,133750,메가엠디,1586.3520413078488,7200.0,3569.447825025915,1142.17372428983,4795.0,0.7444103910377299,0.8583643965260996,1.3433450312346806,1.5015641293013555
137,092070,디엔에프,4743.000026443463,28086.000156586782,13201.171020916641,5209.690635918781,18800.0,0.7021899479210979,0.8587443700153634,1.4241160856269701,1.4939361785418501
393,082210,옵트론텍,2932.3072841585404,13593.477476231645,6448.924765642038,1727.8442604054728,8310.0,0.7760438947824354,0.8592840366272176,1.2885869043275586,1.6357975302324481
270,105740,디케이락,4395.0,18050.0,8854.948320731319,3073.4400855273443,12200.0,0.7258154361255179,0.861784939728854,1.3777607229437132,1.4795081967213115
371,033640,네패스,5849.273332182093,47150.0,21573.854898733804,11967.484123403998,34600.0,0.6235218178824798,0.861804276603942,1.6037931172898876,1.3627167630057804
229,058610,에스피지,3299.481875886039,12900.0,7480.898673901396,2103.905373029663,9780.0,0.7649180648160937,0.8627543396419297,1.3073295637754694,1.3190184049079754
536,298540,더네이쳐홀딩스,15550.0,38200.0,25560.49437856128,5820.762441829455,31950.0,0.8000154735073953,0.8638342971150084,1.2499758231123215,1.1956181533646322
478,178320,서진시스템,7224.729955385009,52885.023273418265,24891.28653295926,12198.410498879291,38300.0,0.6499030426360121,0.8641635245956063,1.538691057582977,1.380810007138858
321,024800,유성티엔에스,1144.0997073464052,4860.1393498267735,2876.0804444060745,653.6734645355693,3610.0,0.796698184046004,0.8692306503923899,1.2551804686205443,1.3462989888716823
52,032190,다우데이타,4500.0,16700.0,11318.574909657174,2204.6973329121906,13800.0,0.820186587656317,0.8698150644504733,1.2192347632232072,1.210144927536232
537,034950,한국기업평가,40900.0,118500.0,63850.56956875508,16515.935070072333,82500.0,0.7739462978030919,0.8705886225314237,1.2920793120124479,1.4363636363636363
230,170030,현대공업,2085.0,11000.0,5094.059467635149,2276.033317347767,7670.0,0.6641537767451303,0.8711339021735948,1.5056753947869983,1.4341590612777053
327,049430,코메론,6240.0,21000.0,9353.580146460537,2015.1474124583947,11650.0,0.8028824160051964,0.8727691494688503,1.2455123939263453,1.8025751072961373
182,048430,유라테크,3360.0,16500.0,8820.838079739626,2648.5976002765024,11900.0,0.7412468974571114,0.8774966016976067,1.3490781592888355,1.3865546218487395
560,256630,포인트엔지니어링,236.717905716975,4161.887688816781,1732.8945748036203,1468.385733941882,3440.0,0.5037484229080291,0.8774985794105651,1.9851178773468299,1.2098510723304594
581,010240,흥국,2045.0,13200.0,5441.887713588283,2021.964854633972,7820.0,0.6958935695125682,0.8802303879786404,1.437001351658473,1.6879795396419437
510,099750,이지케어텍,9850.0,53300.0,22131.246153846154,8214.598367161228,32000.0,0.6916014423076923,0.8851957166405977,1.445919483139397,1.665625
489,317330,덕산테코피아,7900.0,32500.0,18404.677419354837,4403.749767442154,23700.0,0.7765686674833264,0.8854068669138128,1.2877161310676635,1.371308016877637
509,024060,흥구석유,2530.0,10000.0,4955.313262815297,2054.311566766349,7440.0,0.6660367288730238,0.886764304497998,1.5014187005753619,1.3440860215053763
217,053280,예스24,2098.4,18000.0,5678.6918795768925,3156.915892203606,9500.0,0.5977570399554624,0.8869480381342001,1.6729204896934513,1.894736842105263
218,053610,프로텍,7433.6802,36800.0,18207.286224329462,6332.77867148244,26000.0,0.700280239397287,0.8907518211464402,1.4279997403049298,1.4153846153846155
111,018310,삼목에스폼,4095.0,19250.0,12048.970707892595,3038.6405075823673,15850.0,0.7601874263654634,0.8945141506741372,1.3154650620585846,1.2145110410094637
406,092870,엑시콘,3720.4143205785876,16834.566820352597,9133.083986369804,3420.3396117578363,13450.0,0.679039701588833,0.896549140262286,1.4726679421839055,1.251640655788297
521,005670,푸드웰,3520.0,11000.0,5739.438567941415,1478.4261331284583,7610.0,0.7541969208858628,0.8971070494458924,1.3259136603546757,1.445466491458607
157,102120,어보브반도체,3820.0,18700.0,8715.19121236778,3276.102281126888,12900.0,0.6755962180130062,0.8992649294147064,1.4801740645338375,1.449612403100775
114,052400,코나아이,9020.0,47950.0,18625.952161913523,10559.536854934086,32200.0,0.5784457193140846,0.9006872760621384,1.7287706808268724,1.4891304347826086
213,053260,금강철강,2490.0,9560.0,4141.769731489016,1198.7241540841244,5690.0,0.7279032920015844,0.9017460996763762,1.3738088712996552,1.6801405975395431
43,030520,한글과컴퓨터,6303.092565693389,26589.908275845377,14926.55573058711,3580.109009691934,19600.0,0.7615589658462811,0.9041202333438294,1.3130959582213724,1.3566279732574171
141,038390,레드캡투어,9910.0,31200.0,17705.541090317332,3703.393479167871,22550.0,0.785168119304538,0.9045825880063849,1.2736125874363686,1.3835920177383592
288,043610,지니뮤직,1520.0,7730.0,4283.907834450112,1154.3453267365737,5800.0,0.7386047990431228,0.9054722561856967,1.3539040110428742,1.3327586206896551
118,046140,SBS콘텐츠허브,4125.0,9930.0,6956.423921887714,1349.0096977436563,8730.0,0.796841228165832,0.9056987424812454,1.2549551462112454,1.1374570446735395
177,123860,아나패스,8153.051912316119,33648.91037087364,19036.095229508985,5033.013956287835,25700.0,0.7407040945334236,0.907254887859299,1.3500667910171462,1.309296123380297
567,124560,태웅로직스,1897.1896716717872,10350.0,5574.7529421909385,2275.1024260720183,8590.0,0.6489817162038345,0.9074680863833435,1.5408754592493272,1.2048894062863795
502,251370,와이엠티,6239.094433973758,25350.0,14609.396950405182,4588.968615388444,20700.0,0.7057679686186078,0.9077831983064875,1.416896266852815,1.2246376811594204
588,046110,한일네트웍스,2580.0,9720.0,5400.553295362083,1054.407869768587,6810.0,0.7930327893336392,0.9093427603199722,1.260981908251573,1.4273127753303965
55,036800,나이스정보통신,18550.0,39650.0,26881.529698942228,4611.729197634829,33050.0,0.8133594462614895,0.9094802494182157,1.2294687233256856,1.199697428139183
46,038500,삼표시멘트,2050.0,7020.0,3963.5150528885274,839.5644932049145,5090.0,0.7786866508621861,0.9101613279902909,1.2842136164691778,1.3791748526522594
148,072470,우리산업홀딩스,2800.0,9430.0,5798.454027664769,1364.0661105502177,7650.0,0.7579678467535645,0.9126685761754573,1.3193171772167884,1.2326797385620916
543,051160,지어소프트,1177.4333007079804,27450.0,7651.2233437324585,7323.889548789091,17600.0,0.4347285990757079,0.912831713131373,2.3002857463855286,1.5596590909090908
364,009520,포스코엠텍,2070.0,11500.0,5148.60048820179,2170.1410292888845,8110.0,0.634845929494672,0.9138124135372736,1.5751853379543368,1.4180024660912454
553,084650,랩지노믹스,3573.7086790618455,52455.07717532873,12851.196747699632,10132.668420799315,26700.0,0.4813182302509226,0.9141478303573721,2.0776275178246966,1.9646096320347841
402,061970,엘비세미콘,2320.0,15900.0,7143.242473555736,3956.5773850671926,12600.0,0.5669240058377568,0.9160774520069884,1.7639048438639968,1.2619047619047619
265,019010,베뉴지,860.0,2710.0,1645.6554552912223,393.75509514385016,2190.0,0.7514408471649417,0.9165823616078017,1.3307767388116172,1.2374429223744292
374,042370,비츠로테크,3062.989599055726,12850.0,6200.501464879207,2111.1960985066307,9120.0,0.6798795465876323,0.9166468202941184,1.4708487775799064,1.4089912280701755
570,217820,엔에스,2498.254834847923,15066.136482728532,7096.384353382831,2672.792338977782,10800.0,0.6570726253132251,0.9170765814435589,1.521901782962427,1.395012637289679
124,097520,엠씨넥스,5886.170484773379,64326.2172542291,23369.083512054647,15182.733210752343,44450.0,0.5257386616885185,0.9175044853135723,1.902085718383908,1.4471589933459865
102,088390,이녹스,2700.0,64747.26712369493,13524.994582095298,10226.607628165846,27800.0,0.4865105964782481,0.9186230389176007,2.0554536884474826,2.329038385744422
387,059090,미코,2218.4175468882604,18816.672879038695,7341.563831486575,4588.360617132405,13750.0,0.5339319150172054,0.9187439309258189,1.872897970460852,1.3684853002937232
181,094850,참좋은여행,3140.0,16800.0,9423.083807973962,3009.399912906954,13750.0,0.68531518603447,0.9247546423384674,1.4591826073290926,1.221818181818182
195,079960,동양이엔피,7100.0,25450.0,13642.172497965827,3337.3300807591822,18450.0,0.739413143521183,0.9251540952866367,1.3524238901649326,1.3794037940379404
583,042500,링네트,2516.84425180691,9611.570567924027,4719.6740770037495,1248.7369825283315,6520.0,0.7238763921784892,0.9253089533927675,1.3814513234649402,1.4741672650190225
480,131970,테스나,4989.133496169979,56800.0,22450.34385722468,15932.306992601585,45550.0,0.4928725325406077,0.9264515816191146,2.028922153249857,1.2469813391877058
128,114810,아이원스,1841.1714753622432,10200.0,5519.821360912395,1976.7049174155704,8390.0,0.6579048105974249,0.926749415339752,1.5199767259520842,1.2157330154946364
269,012620,원일특강,5080.0,19800.0,10017.13588283157,1724.414954914433,12550.0,0.7981781579945474,0.9290598945796456,1.2528531255635178,1.5776892430278884
275,237690,에스티팜,12800.0,143500.0,47305.434142653176,28749.003165378545,89600.0,0.5279624346278257,0.9293769315852901,1.8940741507583314,1.6015625
524,086670,비엠티,3855.0,16100.0,8489.53620829943,2451.0514986872895,12100.0,0.7016145626693744,0.9296280537823454,1.425283985263053,1.3305785123966942
504,090850,현대이지웰,2103.8865702412254,13500.0,5375.78935601752,3081.6547884528954,9920.0,0.5419142495985403,0.9298400513500992,1.8453103987223398,1.3608870967741935
398,198440,고려시멘트,431.20754372425733,5490.0,2719.8514099454783,1048.397954414749,4270.0,0.6369675433127584,0.9303747633922387,1.5699387048815272,1.2857142857142858
90,095660,네오위즈,10244.506721720469,40850.0,17536.251821950533,5806.892189899435,26150.0,0.6706023641281275,0.9310114419021487,1.491196651685136,1.5621414913957934
468,092300,현우산업,1611.845922791766,7600.0,3493.4039922785664,1055.8498114221993,5060.0,0.690396045904855,0.9310597137912814,1.4484439850598625,1.5019762845849802
415,212560,네오오토,2160.0,13000.0,5817.116717572268,1665.3808785501662,8290.0,0.7017028609857983,0.9312115978211998,1.4251046355933825,1.5681544028950543
301,036200,유니셈,2965.0,15750.0,7311.017388499539,3182.4849984129983,12050.0,0.6067234347302523,0.9317671728873625,1.6481974203692948,1.3070539419087137
